鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,租賃年月日,租賃層次,總樓層數,建物型態,主要用途,建築完成年月,租賃總面積平方公尺,總額元,單價每平方公尺,租賃總面積平方公尺,緯度,經度
三重區,房地(土地+建物),新北市三重區中興北街121~150號,71.39,工,1031029,一層,5,公寓(5樓含以下無電梯),工業用,751029,262.42,45000,171,0,25.07774880 ,121.48458700 
三重區,建物,新北市三重區三和路四段301~330號,0,住,1031104,見其他登記事項,5,店面(店鋪),見其他登記事項,700307,250,250000,1000,0,25.04887390 ,121.46985200 
三重區,建物,新北市三重區中正北路391~420號,28.63,工,1031117,一層,5,公寓(5樓含以下無電梯),見其他登記事項,751023,139.74,42000,301,0,25.07203170 ,121.47157460 
三重區,房地(土地+建物),新北市三重區光復路一段68巷31~60號,25.3,工,1031205,一層,5,公寓(5樓含以下無電梯),工業用,771118,101.92,28000,275,0,25.04941200 ,121.46999900 
三重區,房地(土地+建物),新北市三重區光復路二段39巷1~30號,274.93,工,1031204,見其他登記事項,2,工廠,見其他登記事項,770915,508.9,120000,,0,25.05350400 ,121.47237000 
三重區,房地(土地+建物),新北市三重區重新路四段61~90號,12,商,1031128,五層,10,華廈(10層含以下有電梯),商業用,800823,157,28560,182,0,25.05741790 ,121.48759400 
三重區,房地(土地+建物),新北市三重區光復路二段196巷1~30號,1023.75,工,1031215,全,4,透天厝,見其他登記事項,990706,463.8,70000,151,0,25.06244020 ,121.46847330 
三重區,房地(土地+建物)+車位,新北市三重區五華街181~210號,45.79,住,1031215,一層,24,店面(店鋪),見其他登記事項,1001228,757.31,300000,396,162.12,25.08543600 ,121.49025600 
三重區,房地(土地+建物)+車位,新北市三重區如意街31~60號,27.63,住,1031130,一層,13,住宅大樓(11層含以上有電梯),住家用,960309,172.22,32000,186,33.25,25.09034200 ,121.48883150 
三重區,建物,新北市三重區捷運路22巷1~30號,1.33,住,1031230,一層,5,公寓(5樓含以下無電梯),商業用,700703,104,25000,240,0,25.05511340 ,121.48480360 
三重區,建物,新北市三重區重新路五段481~510號,0,其他,1040102,一層,17,店面(店鋪),見其他登記事項,990304,127.85,48867,382,0,25.04709060 ,121.47311260 
三重區,房地(土地+建物)+車位,新北市三重區新北大道二段241~270號,34.59,工,1031230,三層,14,廠辦,工業用,900507,317.88,52000,164,40.7,25.06126100 ,121.46653300 
三重區,房地(土地+建物),新北市三重區中興北街136巷18弄1~30號,66.5,工,1040116,全,4,透天厝,見其他登記事項,780823,201.5,55000,273,0,25.05565590 ,121.46805600 
三重區,建物,新北市三重區三和路四段1~30號,0,,1031223,十六層,17,辦公商業大樓,商業用,871031,102.51,34700,339,0,25.07416520 ,121.49152460 
三重區,建物,新北市三重區環河北路三段451~480號,0,住,1040119,九層,12,住宅大樓(11層含以上有電梯),住家用,961106,122.19,33300,273,0,25.09048230 ,121.49148030 
三重區,房地(土地+建物),新北市三重區中興北街121~150號,35.69,工,1031231,一層,5,公寓(5樓含以下無電梯),工業用,751029,131.21,28000,213,0,25.04887390 ,121.46985200 
三重區,房地(土地+建物),新北市三重區中興北街121~150號,35.69,工,1031231,二層,5,公寓(5樓含以下無電梯),工業用,751029,131.21,20000,152,0,25.04887390 ,121.46985200 
三重區,房地(土地+建物),新北市三重區重新路五段511~540號,4.79,其他,1031231,十三層,17,住宅大樓(11層含以上有電梯),住家用,990304,58.62,14000,239,0,25.04660300 ,121.47135900 
三重區,房地(土地+建物),新北市三重區中正北路1~30號,114.78,住,1031030,一層,7,華廈(10層含以下有電梯),商業用,670830,185.77,57000,307,0,25.07197820 ,121.47179440 
三重區,建物,新北市三重區溪尾街1~30號,0,,1031127,五層,8,廠辦,工業用,900219,221.39,39300,178,0,25.07410090 ,121.49189100 
三重區,建物,新北市三重區溪尾街1~30號,0,,1031127,五層,8,廠辦,工業用,900219,291.06,48400,166,0,25.07410090 ,121.49189100 
三重區,建物,新北市三重區溪尾街1~30號,0,,1031127,五層,8,廠辦,工業用,900219,353.5,58300,165,0,25.07410090 ,121.49189100 
三重區,建物,新北市三重區溪尾街1~30號,0,,1031127,五層,8,廠辦,工業用,900219,260.97,42900,164,0,25.07410090 ,121.49189100 
三重區,房地(土地+建物),新北市三重區三和路二段211~240號,82.27,商,1040115,全,4,透天厝,住商用,680321,224,70000,313,0,25.06939600 ,121.49811610 
三重區,建物,新北市三重區捷運路37巷1~30號,0,住,1040128,二層,14,住宅大樓(11層含以上有電梯),住家用,920808,179,33000,184,0,25.05624000 ,121.48542700 
三重區,房地(土地+建物),新北市三重區光復路一段91~120號,5907.67,工,1040129,一層,1,工廠,工業用,550320,1014.66,180000,,0,25.05067900 ,121.47245800 
三重區,房地(土地+建物),新北市三重區重新路四段1~30號,13.33,商,1040129,二層,15,住宅大樓(11層含以上有電梯),見其他登記事項,980616,145.12,30000,207,0,25.05847690 ,121.48904500 
三重區,房地(土地+建物),新北市三重區興德路121~150號,320.15,工,1040210,見其他登記事項,4,廠辦,見其他登記事項,851024,501.72,78750,157,0,25.05318490 ,121.47094400 
三重區,房地(土地+建物),新北市三重區三和路四段215巷61~90號,18.57,住,1040203,一層,7,店面(店鋪),住家用,900119,105.98,32000,302,0,25.08029140 ,121.48376940 
三重區,建物,新北市三重區重新路一段91~120號,0,其他,1040217,二十七層,27,住宅大樓(11層含以上有電梯),住家用,1011220,104.08,24000,231,0,25.06349930 ,121.50091530 
三重區,建物,新北市三重區三和路四段264巷2弄1~30號,0,住,1040227,六層,5,公寓(5樓含以下無電梯),住家用,750205,34.57,11000,318,0,25.07688760 ,121.48557560 
三重區,房地(土地+建物),新北市三重區重新路一段121~150號,5.22,住,1040305,二十一層,27,住宅大樓(11層含以上有電梯),住家用,1011220,86.55,25000,289,0,25.06325450 ,121.50018710 
三重區,建物,新北市三重區文化南路31~60號,0,商,1040321,七層,19,住宅大樓(11層含以上有電梯),住家用,1000622,96.92,21000,217,0,25.06179960 ,121.50008260 
三重區,房地(土地+建物),新北市三重區忠孝路一段21巷18弄1~30號,93,住,1040312,一層,4,公寓(5樓含以下無電梯),住家用,650116,57.3,19000,332,0,25.07222470 ,121.49198630 
三重區,建物,新北市三重區重新路四段184巷31~60號,0,住,1040309,一層,5,店面(店鋪),商業用,690526,105,49500,471,0,25.05805000 ,121.48817100 
三重區,建物,新北市三重區正義北路1~30號,0,住,1040311,全,4,透天厝,商業用,550305,535.29,280000,523,0,25.06252100 ,121.49795180 
三重區,建物,新北市三重區永福街72巷31~60號,0,住,1040320,十六層,21,住宅大樓(11層含以上有電梯),住家用,810702,223.79,33500,150,0,25.07623870 ,121.48000470 
三重區,建物,新北市三重區重陽一段61~90號,0,商,1040324,七層,14,辦公商業大樓,商業用,840925,131.5,32000,243,0,25.05853000 ,121.48700500 
三重區,房地(土地+建物),新北市三重區重新路一段121~150號,5.22,住,1040406,八層,27,住宅大樓(11層含以上有電梯),住家用,1011220,92.4,25200,273,0,25.06325450 ,121.50018710 
三重區,房地(土地+建物),新北市三重區碧華街331~360號,28.75,住,1040401,一層,4,公寓(5樓含以下無電梯),住家用,660715,74,25000,338,0,25.08460220 ,121.49153110 
三重區,建物,新北市三重區重新路三段61~90號,0,商,1040325,十二層,12,住宅大樓(11層含以上有電梯),見其他登記事項,990430,116.03,30000,259,0,25.06060700 ,121.49225570 
三重區,房地(土地+建物),新北市三重區興德路91~120號,28.85,工,1040330,七層,16,廠辦,工業用,900628,236.41,54600,231,0,25.05336720 ,121.47323020 
三重區,建物,新北市三重區三和路四段1~30號,0,住,1040413,一層,3,公寓(5樓含以下無電梯),住家用,600714,83.52,38000,455,0,25.07416520 ,121.49152460 
三重區,建物,新北市三重區三和路四段211~240號,0,住,1040407,一層,4,店面(店鋪),住家用,681228,220,120000,545,0,25.07961700 ,121.48162500 
三重區,房地(土地+建物),新北市三重區重陽路一段60巷1~30號,26.69,住,1040327,四層,4,公寓(5樓含以下無電梯),住家用,670426,79,10000,127,0,25.05749600 ,121.48698400 
三重區,房地(土地+建物),新北市三重區重陽路四段126巷31~60號,26.8,住,1040402,五層,5,公寓(5樓含以下無電梯),住家用,860526,60.63,8000,132,0,25.06955210 ,121.49125260 
三重區,建物,新北市三重區光復路一段61巷1~30號,0,商,1040326,六層,15,辦公商業大樓,見其他登記事項,1020812,1688.35,357770,212,0,25.04885000 ,121.47389600 
三重區,房地(土地+建物),新北市三重區重新路一段91~120號,6.61,住,1040422,二十一層,27,住宅大樓(11層含以上有電梯),住家用,1011220,91.85,24300,265,0,25.06349930 ,121.50091530 
三重區,建物,新北市三重區中正南路250巷1~30號,0,住,1040407,二十八層,36,住宅大樓(11層含以上有電梯),住家用,970627,118.89,31000,261,0,25.05364000 ,121.49400840 
三重區,車位,新北市三重區中正南路250巷1~30號,0,住,1040415,,,其他,,,36.97,3200,,36.97,25.05364000 ,121.49400840 
三重區,建物,新北市三重區重陽路一段61~90號,0,,1040409,一層,5,店面(店鋪),住家用,750106,115.34,52000,451,0,25.05853000 ,121.48700500 
三重區,建物,新北市三重區捷運路37巷1~30號,0,住,1040425,二層,14,住宅大樓(11層含以上有電梯),住家用,920808,163.89,31000,189,0,25.05624000 ,121.48542700 
