"mrt","區","流量","房價中位數","緯度","經度","平均人口","15-64","age.ratio","工業區","商業區","住宅區"
"紅樹林","淡水區",661.3801282,264501.6,25.154042,121.458871,4881,3725,0.763163286211842,"0","0","1"
"後山埤","南港區",1166.911538,589102.8,25.045054,121.582522,29659,21425,0.722377693111703,"0","0","1"
"葫洲","內湖區",703.2839744,562336.5,25.0727158,121.6071548,30224,21820,0.721942826892536,"0","0","1"
"迴龍","新莊區",1042.099359,295310.4,25.02254,121.412734,31631,24074,0.761088805285954,"1","0","1"
"劍南路","中山區",395.4307692,734098.2,25.084853,121.555592,14122,10122,0.716754000849738,"0","1","1"
"劍潭","士林區",1343.041667,609915.9,25.084873,121.525077,29466,20990,0.712346433177221,"0","0","1"
"江子翠","板橋區",2438.994231,450733.8,25.033971,121.473281,34165,25836,0.756212498170643,"0","0","1"
"景安","中和區",2677.851923,398884.2,24.9937115,121.5046146,66139,49660,0.750842921725457,"0","0","1"
"景美","文山區",1098.964103,488944.5,24.993524,121.540817,33960,23586,0.69452296819788,"0","1","1"
"科技大樓","大安區",758.5557692,779684.4,25.026124,121.543437,37420,24797,0.662667022982362,"0","0","1"
"昆陽","南港區",771.7076923,487083.3,25.0501585,121.593423,20977,15222,0.725651904466797,"1","0","1"
"麟光","大安區",426.9352564,589873.35,25.015464,121.561065,21658,15696,0.724720657493767,"0","0","1"
"六張犁","大安區",837.3358974,682235.4,25.023698,121.55162,32284,22827,0.707068516912402,"0","0","1"
"龍山寺","萬華區",1921.208974,407612.7,25.035279,121.499826,50196,35723,0.71167025260977,"0","1","1"
"蘆洲","蘆洲區",1558.180769,345764.1,25.091553,121.464471,49279,37451,0.759978895675643,"1","0","1"
"民權西路","大同區",890.8961538,604340.55,25.0628786,121.519346,7629,5416,0.709922663520776,"1","1","0"
"明德","北投區",953.5423077,561396,25.10972,121.518848,29008,20659,0.712182846111418,"0","0","1"
"木柵","文山區",327.2435897,452073.6,24.99824,121.573145,10426,7593,0.728275465183196,"0","0","1"
"南港","南港區",847.4692308,603626.1,25.052056,121.606569,16421,11956,0.728092077218196,"1","1","0"
"南港軟體園區","南港區",109.7929487,642960.45,25.0599419,121.6159291,4947,3629,0.73357590458864,"1","1","1"
"南港展覽館","南港區",2081.176282,500623.2,25.0553846,121.6182655,9373,6873,0.733276432305559,"0","1","1"
"南京復興","中山區",854.0583333,714897.15,25.0520954,121.5443516,18673,12757,0.683178921437369,"0","1","1"
"南京三民","松山區",785.2711538,696712.5,25.051462,121.560447,62783,43148,0.68725610435946,"0","0","1"
"南勢角","中和區",2370.614103,394973.7,24.9899178,121.5088501,68471,51166,0.747265265586891,"0","0","1"
"內湖","內湖區",748.8435897,575549.7,25.064786,121.585319,11821,8937,0.756027408848659,"1","1","1"
"七張","新店區",1289.827564,425769.3,24.9749794,121.5431015,32445,23748,0.731946370781322,"0","0","1"
"奇岩","北投區",749.3897436,471817.5,25.126112,121.5010071,9012,6694,0.742787394584998,"1","0","1"
"唭哩岸","北投區",703.4435897,491323.8,25.120872,121.506252,23549,16469,0.69935029088284,"0","0","1"
"三和國中","三重區",1372.447436,342596.1,25.07542,121.488685,67625,50910,0.752828096118299,"0","0","1"
